,nivel_senioridade,horas_trab_dias,nivel_fadiga_mental,taxa_burnout,dias_empresa,ambi_dome_favoravel_No,ambi_dome_favoravel_Yes,genero_Female,genero_Male,tipo_empresa_Product,tipo_empresa_Service
67,4.0,6.0,6.5,0.63,5491,0,1,0,1,0,1
68,3.0,5.0,6.8,0.6,5382,1,0,1,0,0,1
69,4.0,8.0,8.7,0.79,5323,1,0,1,0,1,0
70,2.0,5.0,6.2,0.39,5388,0,1,0,1,0,1
71,3.0,5.0,5.8,0.36,5607,1,0,1,0,0,1
72,2.0,4.0,6.6,0.5,5416,1,0,1,0,1,0
73,4.0,7.0,8.2,0.72,5360,1,0,0,1,1,0
74,2.0,3.0,4.9,0.34,5428,0,1,1,0,0,1
75,1.0,2.0,4.1,0.27,5580,1,0,1,0,0,1
76,3.0,7.0,7.4,0.66,5401,1,0,0,1,0,1
77,0.0,1.0,5.9,0.04,5493,0,1,1,0,1,0
78,1.0,2.0,4.4,0.27,5473,0,1,0,1,0,1
79,2.0,6.0,6.9,0.67,5284,1,0,1,0,0,1
80,1.0,2.0,5.3,0.38,5320,0,1,1,0,1,0
81,2.0,2.0,4.3,0.28,5536,0,1,1,0,0,1
82,0.0,1.0,0.8,0.05,5344,0,1,0,1,1,0
83,2.0,4.0,2.9,0.22,5527,0,1,1,0,0,1
84,1.0,3.0,5.0,0.39,5543,0,1,1,0,0,1
85,1.0,4.0,6.9,0.52,5474,0,1,0,1,0,1
86,3.0,5.0,4.7,0.39,5354,1,0,1,0,0,1
87,1.0,3.0,2.0,0.11,5571,1,0,1,0,0,1
88,2.0,4.0,5.4,0.44,5352,1,0,1,0,0,1
89,2.0,5.0,6.1,0.5,5430,1,0,0,1,1,0
90,1.0,4.0,5.1,0.41,5314,0,1,1,0,1,0
92,4.0,9.0,5.9,0.76,5593,1,0,0,1,1,0
93,3.0,5.0,4.7,0.43,5509,0,1,1,0,0,1
94,3.0,5.0,5.4,0.46,5315,0,1,0,1,0,1
95,4.0,7.0,9.1,0.85,5584,1,0,1,0,0,1
96,1.0,3.0,5.0,0.35,5612,0,1,0,1,0,1
97,1.0,1.0,0.0,0.0,5542,1,0,0,1,1,0
98,2.0,4.0,4.3,0.34,5528,0,1,0,1,1,0
99,2.0,4.0,6.7,0.44,5382,0,1,1,0,0,1
100,2.0,5.0,5.7,0.55,5330,1,0,1,0,1,0
101,4.0,6.0,6.8,0.62,5295,0,1,0,1,0,1
102,3.0,6.0,7.6,0.72,5385,1,0,0,1,0,1
103,3.0,8.0,8.3,0.71,5280,0,1,0,1,1,0
104,1.0,3.0,5.5,0.39,5394,1,0,1,0,1,0
105,1.0,3.0,5.3,0.48,5435,1,0,1,0,0,1
106,3.0,7.0,8.0,0.7,5488,1,0,1,0,0,1
107,4.0,6.0,6.4,0.56,5263,0,1,0,1,0,1
108,1.0,3.0,3.6,0.27,5363,0,1,1,0,0,1
109,2.0,5.0,7.0,0.66,5429,0,1,1,0,1,0
110,3.0,7.0,7.6,0.56,5313,1,0,1,0,1,0
111,2.0,5.0,8.7,0.79,5488,1,0,0,1,0,1
112,0.0,1.0,2.6,0.18,5565,0,1,1,0,1,0
113,2.0,4.0,4.7,0.33,5516,0,1,1,0,0,1
114,2.0,4.0,6.4,0.4,5573,0,1,0,1,0,1
115,2.0,5.0,5.8,0.39,5553,1,0,1,0,0,1
116,1.0,1.0,3.3,0.23,5392,1,0,1,0,0,1
117,2.0,4.0,5.9,0.45,5611,0,1,1,0,1,0
118,2.0,4.0,7.8,0.67,5329,1,0,1,0,1,0
119,1.0,3.0,7.0,0.52,5296,0,1,0,1,1,0
120,4.0,7.0,7.2,0.6,5369,1,0,1,0,0,1
121,3.0,7.0,7.9,0.59,5337,0,1,0,1,0,1
123,1.0,3.0,5.9,0.36,5355,0,1,1,0,0,1
124,1.0,3.0,4.4,0.29,5552,1,0,0,1,0,1
125,2.0,5.0,5.2,0.34,5563,0,1,0,1,0,1
126,2.0,4.0,5.3,0.34,5529,0,1,1,0,1,0
128,4.0,6.0,5.9,0.67,5276,1,0,1,0,0,1
129,4.0,4.0,8.9,0.76,5366,0,1,1,0,1,0
130,3.0,4.0,5.2,0.46,5354,0,1,1,0,1,0
131,2.0,5.0,4.5,0.36,5560,0,1,0,1,0,1
132,2.0,3.0,6.6,0.45,5271,1,0,1,0,1,0
133,3.0,5.0,3.8,0.27,5596,0,1,1,0,1,0
134,3.0,7.0,7.6,0.65,5589,1,0,0,1,1,0
136,3.0,6.0,5.6,0.34,5478,0,1,1,0,1,0
137,1.0,3.0,5.4,0.37,5392,0,1,1,0,0,1
138,1.0,2.0,4.9,0.25,5435,0,1,0,1,1,0
139,2.0,5.0,7.3,0.57,5487,1,0,0,1,0,1
140,2.0,5.0,5.6,0.52,5491,1,0,0,1,0,1
142,4.0,8.0,7.8,0.75,5325,1,0,1,0,1,0
143,4.0,7.0,6.7,0.55,5424,0,1,1,0,1,0
144,1.0,4.0,6.5,0.43,5544,1,0,1,0,0,1
145,0.0,1.0,1.8,0.1,5387,0,1,1,0,0,1
146,3.0,6.0,8.1,0.68,5377,1,0,1,0,1,0
148,3.0,7.0,6.4,0.56,5498,0,1,0,1,0,1
149,3.0,8.0,7.2,0.73,5589,0,1,0,1,0,1
150,2.0,5.0,8.6,0.7,5366,1,0,1,0,0,1
151,2.0,5.0,5.9,0.58,5521,1,0,0,1,0,1
152,4.0,8.0,9.5,0.88,5261,1,0,0,1,1,0
153,2.0,6.0,6.8,0.63,5389,0,1,0,1,1,0
154,2.0,5.0,6.5,0.62,5547,1,0,1,0,0,1
155,2.0,3.0,3.5,0.25,5357,0,1,1,0,0,1
156,2.0,3.0,4.8,0.4,5500,1,0,0,1,0,1
157,3.0,8.0,7.6,0.77,5579,1,0,0,1,1,0
158,3.0,6.0,6.2,0.58,5567,0,1,0,1,1,0
159,3.0,6.0,3.6,0.3,5360,0,1,1,0,1,0
160,3.0,6.0,8.0,0.61,5508,1,0,0,1,1,0
161,3.0,5.0,6.0,0.4,5317,0,1,1,0,0,1
162,1.0,3.0,3.8,0.33,5550,0,1,1,0,0,1
163,1.0,2.0,2.4,0.06,5521,0,1,1,0,1,0
164,1.0,4.0,4.3,0.36,5394,0,1,0,1,0,1
165,1.0,2.0,3.7,0.28,5353,0,1,1,0,0,1
167,2.0,5.0,5.6,0.37,5554,0,1,0,1,1,0
168,0.0,1.0,1.0,0.03,5471,0,1,1,0,0,1
169,2.0,5.0,7.2,0.67,5364,0,1,1,0,1,0
170,1.0,3.0,6.7,0.46,5532,0,1,0,1,0,1
172,3.0,8.0,7.5,0.72,5251,0,1,1,0,0,1
173,3.0,6.0,5.9,0.69,5448,1,0,1,0,0,1
174,4.0,7.0,7.5,0.65,5528,1,0,1,0,0,1
175,0.0,1.0,4.0,0.24,5560,1,0,1,0,1,0
176,1.0,3.0,5.3,0.41,5280,0,1,1,0,0,1
177,2.0,5.0,7.5,0.68,5338,1,0,1,0,1,0
178,1.0,2.0,5.9,0.42,5598,0,1,1,0,0,1
179,4.0,7.0,7.7,0.72,5585,1,0,0,1,1,0
180,0.0,2.0,4.4,0.33,5527,0,1,0,1,0,1
181,2.0,3.0,5.9,0.37,5320,0,1,1,0,0,1
182,4.0,6.0,5.9,0.6,5581,0,1,0,1,0,1
183,3.0,5.0,6.5,0.48,5328,0,1,0,1,0,1
184,2.0,4.0,5.5,0.48,5576,0,1,0,1,1,0
185,2.0,5.0,5.0,0.36,5285,1,0,0,1,0,1
186,1.0,1.0,5.9,0.24,5501,0,1,1,0,0,1
187,4.0,10.0,9.2,0.91,5303,1,0,0,1,1,0
189,1.0,2.0,4.1,0.24,5257,0,1,1,0,1,0
190,3.0,6.0,5.5,0.45,5286,1,0,1,0,0,1
191,5.0,9.0,8.8,0.85,5442,1,0,0,1,0,1
192,2.0,4.0,5.5,0.34,5474,1,0,1,0,0,1
193,1.0,3.0,5.9,0.36,5281,0,1,0,1,1,0
194,2.0,4.0,4.5,0.34,5391,0,1,1,0,0,1
195,3.0,6.0,8.0,0.59,5495,1,0,0,1,1,0
196,2.0,4.0,5.8,0.44,5411,0,1,1,0,0,1
197,1.0,3.0,4.4,0.38,5291,1,0,0,1,0,1
199,3.0,6.0,7.5,0.59,5251,1,0,0,1,1,0
200,2.0,7.0,8.0,0.7,5443,1,0,1,0,0,1
201,2.0,3.0,6.1,0.42,5371,1,0,0,1,1,0
202,1.0,2.0,5.1,0.46,5468,0,1,0,1,1,0
203,3.0,4.0,5.9,0.48,5255,0,1,1,0,0,1
204,3.0,5.0,4.7,0.39,5570,0,1,1,0,0,1
205,3.0,5.0,5.2,0.42,5551,0,1,1,0,0,1
206,0.0,1.0,0.0,0.0,5335,0,1,0,1,1,0
207,2.0,5.0,5.1,0.46,5320,0,1,1,0,0,1
208,1.0,2.0,4.4,0.3,5386,0,1,0,1,1,0
209,4.0,6.0,6.9,0.63,5312,1,0,1,0,1,0
210,2.0,5.0,5.3,0.45,5418,1,0,1,0,0,1
211,2.0,3.0,5.9,0.49,5503,1,0,0,1,0,1
212,3.0,6.0,6.0,0.58,5370,0,1,1,0,0,1
213,4.0,7.0,8.6,0.67,5609,1,0,0,1,1,0
214,2.0,5.0,7.3,0.71,5535,1,0,0,1,0,1
215,1.0,3.0,5.5,0.48,5510,0,1,1,0,0,1
216,1.0,3.0,2.9,0.22,5473,0,1,0,1,0,1
217,3.0,6.0,5.1,0.43,5452,1,0,1,0,1,0
218,4.0,8.0,5.9,0.74,5338,0,1,0,1,0,1
219,2.0,5.0,6.4,0.57,5568,1,0,0,1,0,1
220,2.0,3.0,5.9,0.22,5579,0,1,1,0,0,1
222,3.0,4.0,5.8,0.47,5291,1,0,1,0,0,1
223,3.0,4.0,6.1,0.47,5312,0,1,1,0,0,1
224,3.0,5.0,5.3,0.47,5452,0,1,1,0,0,1
225,1.0,4.0,5.5,0.34,5328,0,1,1,0,1,0
226,1.0,3.0,5.5,0.37,5331,0,1,1,0,0,1
227,3.0,7.0,7.8,0.8,5345,1,0,1,0,0,1
228,4.0,8.0,8.9,0.8,5462,1,0,0,1,1,0
229,2.0,4.0,5.9,0.36,5422,1,0,1,0,1,0
230,1.0,4.0,6.9,0.49,5410,0,1,1,0,0,1
231,1.0,3.0,5.9,0.35,5423,0,1,1,0,0,1
232,0.0,1.0,0.0,0.0,5393,0,1,0,1,0,1
233,4.0,9.0,9.3,0.86,5336,0,1,0,1,0,1
234,1.0,2.0,4.6,0.33,5541,0,1,1,0,0,1
236,3.0,6.0,5.7,0.5,5449,0,1,1,0,0,1
237,2.0,4.0,4.5,0.34,5318,0,1,1,0,0,1
238,0.0,2.0,4.7,0.23,5562,0,1,0,1,1,0
239,4.0,8.0,9.9,0.92,5580,1,0,0,1,1,0
240,3.0,6.0,6.3,0.44,5475,0,1,1,0,0,1
241,1.0,3.0,3.6,0.15,5351,0,1,1,0,0,1
242,0.0,2.0,4.3,0.32,5547,0,1,1,0,0,1
243,3.0,4.0,6.5,0.43,5401,0,1,1,0,0,1
244,4.0,9.0,8.7,0.78,5597,1,0,0,1,0,1
245,0.0,1.0,3.1,0.23,5551,0,1,0,1,0,1
246,2.0,4.0,3.6,0.21,5420,0,1,0,1,0,1
247,1.0,2.0,3.6,0.23,5387,0,1,0,1,0,1
248,3.0,5.0,5.7,0.4,5306,0,1,1,0,1,0
249,2.0,5.0,5.7,0.38,5286,0,1,1,0,0,1
250,0.0,1.0,0.5,0.0,5508,1,0,1,0,0,1
251,2.0,4.0,3.9,0.33,5275,1,0,1,0,1,0
252,3.0,4.0,7.3,0.63,5406,0,1,0,1,1,0
253,2.0,5.0,7.0,0.62,5273,1,0,1,0,1,0
254,2.0,4.0,5.9,0.39,5328,1,0,1,0,0,1
255,3.0,4.0,5.4,0.36,5448,0,1,0,1,0,1
256,2.0,3.0,3.7,0.28,5459,0,1,1,0,0,1
257,3.0,4.0,7.4,0.56,5263,1,0,1,0,1,0
258,2.0,4.0,6.1,0.41,5362,0,1,1,0,0,1
259,0.0,1.0,2.8,0.1,5579,0,1,0,1,0,1
260,2.0,4.0,6.9,0.63,5309,1,0,1,0,0,1
261,3.0,7.0,7.3,0.67,5587,0,1,0,1,0,1
262,3.0,7.0,7.2,0.62,5510,1,0,0,1,0,1
263,2.0,7.0,9.0,0.77,5520,0,1,0,1,0,1
264,0.0,1.0,0.0,0.0,5427,1,0,1,0,0,1
265,2.0,6.0,5.6,0.51,5261,0,1,0,1,1,0
266,2.0,4.0,6.8,0.61,5252,0,1,1,0,0,1
267,1.0,3.0,5.1,0.41,5573,0,1,1,0,0,1
268,3.0,5.0,6.0,0.53,5425,0,1,1,0,0,1
269,1.0,3.0,6.8,0.5,5264,0,1,1,0,0,1
270,2.0,5.0,6.5,0.55,5293,0,1,0,1,1,0
271,4.0,6.0,5.7,0.49,5420,0,1,0,1,0,1
272,2.0,4.0,6.9,0.57,5594,0,1,0,1,0,1
273,3.0,5.0,6.1,0.44,5322,0,1,0,1,1,0
274,3.0,7.0,8.8,0.7,5608,0,1,0,1,0,1
275,1.0,2.0,6.8,0.48,5320,0,1,1,0,0,1
276,0.0,4.0,3.8,0.23,5256,1,0,0,1,1,0
277,4.0,7.0,5.9,0.79,5454,1,0,0,1,0,1
278,2.0,5.0,6.8,0.6,5596,1,0,0,1,0,1
279,2.0,4.0,5.5,0.48,5358,0,1,0,1,1,0
280,2.0,3.0,4.5,0.21,5313,0,1,1,0,0,1
281,2.0,2.0,2.6,0.15,5411,1,0,1,0,1,0
282,5.0,10.0,10.0,0.98,5327,1,0,0,1,0,1
283,1.0,2.0,4.3,0.25,5302,0,1,1,0,0,1
284,3.0,8.0,8.8,0.7,5568,1,0,0,1,1,0
285,4.0,7.0,7.2,0.69,5422,1,0,1,0,0,1
286,1.0,3.0,4.4,0.33,5369,0,1,0,1,0,1
287,2.0,4.0,5.5,0.44,5276,1,0,1,0,0,1
288,2.0,5.0,7.8,0.57,5254,1,0,1,0,1,0
289,1.0,3.0,4.5,0.27,5486,0,1,0,1,1,0
290,4.0,6.0,6.7,0.67,5390,1,0,0,1,0,1
291,1.0,1.0,3.4,0.25,5589,1,0,1,0,0,1
292,0.0,1.0,3.6,0.18,5378,1,0,1,0,0,1
293,3.0,7.0,7.9,0.6,5581,1,0,1,0,1,0
294,2.0,5.0,5.3,0.39,5341,0,1,1,0,0,1
295,1.0,3.0,5.3,0.34,5350,0,1,1,0,0,1
296,3.0,6.0,5.5,0.52,5300,1,0,1,0,1,0
297,1.0,3.0,5.4,0.42,5496,1,0,1,0,1,0
298,1.0,1.0,4.8,0.28,5255,0,1,0,1,1,0
299,2.0,4.0,6.2,0.38,5606,0,1,1,0,1,0
300,4.0,6.0,6.9,0.59,5476,1,0,0,1,1,0
301,2.0,5.0,8.0,0.62,5592,0,1,1,0,1,0
302,3.0,7.0,8.7,0.76,5357,1,0,0,1,1,0
303,1.0,3.0,4.2,0.33,5393,1,0,1,0,0,1
304,2.0,2.0,4.2,0.28,5272,1,0,0,1,0,1
305,3.0,6.0,7.2,0.62,5590,1,0,1,0,0,1
306,2.0,4.0,5.2,0.45,5333,0,1,1,0,0,1
307,2.0,2.0,3.3,0.24,5357,0,1,0,1,0,1
309,2.0,5.0,6.3,0.53,5344,1,0,0,1,0,1
310,2.0,4.0,6.8,0.59,5491,0,1,0,1,0,1
312,3.0,6.0,5.9,0.65,5473,0,1,0,1,1,0
313,3.0,5.0,3.8,0.29,5580,0,1,0,1,1,0
314,1.0,2.0,2.7,0.19,5482,0,1,1,0,1,0
315,4.0,7.0,8.1,0.65,5563,1,0,1,0,0,1
316,1.0,1.0,1.3,0.02,5271,0,1,1,0,1,0
317,2.0,4.0,7.0,0.47,5325,0,1,1,0,0,1
318,4.0,7.0,5.9,0.82,5478,1,0,0,1,0,1
319,2.0,5.0,6.6,0.43,5315,1,0,1,0,0,1
320,2.0,5.0,7.9,0.61,5349,1,0,1,0,0,1
321,0.0,2.0,4.7,0.33,5396,1,0,1,0,1,0
322,2.0,4.0,7.9,0.6,5491,1,0,1,0,0,1
323,2.0,6.0,6.4,0.52,5552,1,0,1,0,1,0
324,5.0,9.0,9.3,0.93,5494,0,1,0,1,0,1
325,2.0,4.0,6.3,0.47,5260,1,0,0,1,1,0
326,2.0,4.0,6.4,0.53,5370,1,0,0,1,0,1
327,3.0,7.0,6.9,0.51,5553,1,0,0,1,0,1
328,1.0,1.0,4.9,0.26,5576,0,1,1,0,0,1
329,3.0,4.0,5.2,0.42,5511,0,1,1,0,1,0
330,2.0,5.0,6.2,0.58,5290,1,0,1,0,0,1
331,1.0,2.0,5.3,0.3,5291,0,1,1,0,0,1
332,3.0,6.0,6.2,0.56,5390,0,1,0,1,1,0
333,2.0,5.0,6.1,0.57,5512,1,0,0,1,1,0
334,2.0,3.0,5.5,0.3,5292,0,1,1,0,0,1
335,4.0,8.0,9.5,0.86,5503,1,0,0,1,0,1
336,2.0,6.0,6.3,0.62,5391,1,0,0,1,1,0
337,3.0,5.0,5.2,0.41,5559,0,1,0,1,0,1
338,1.0,4.0,5.1,0.38,5441,0,1,0,1,0,1
339,2.0,5.0,5.9,0.41,5569,0,1,1,0,0,1
340,2.0,5.0,5.8,0.46,5411,1,0,1,0,0,1
341,2.0,4.0,5.9,0.44,5471,1,0,1,0,0,1
342,1.0,1.0,3.2,0.24,5387,1,0,1,0,1,0
343,2.0,4.0,6.1,0.39,5560,0,1,1,0,0,1
345,2.0,4.0,7.5,0.53,5570,1,0,1,0,0,1
346,2.0,4.0,6.0,0.53,5292,1,0,1,0,0,1
347,2.0,2.0,3.9,0.21,5560,1,0,1,0,0,1
348,4.0,8.0,8.4,0.77,5328,1,0,0,1,0,1
349,1.0,2.0,6.0,0.37,5258,0,1,1,0,1,0
350,3.0,8.0,5.9,0.93,5338,1,0,0,1,0,1
351,4.0,7.0,5.9,0.67,5363,0,1,1,0,0,1
352,1.0,3.0,4.9,0.38,5541,0,1,0,1,0,1
353,3.0,4.0,6.3,0.47,5456,0,1,0,1,1,0
354,4.0,8.0,8.0,0.69,5371,1,0,0,1,0,1
355,2.0,7.0,7.1,0.72,5294,1,0,0,1,0,1
356,4.0,8.0,7.3,0.73,5437,1,0,0,1,0,1
357,4.0,8.0,8.2,0.72,5483,1,0,1,0,1,0
358,2.0,6.0,7.1,0.58,5368,1,0,1,0,1,0
359,2.0,5.0,4.5,0.38,5549,0,1,1,0,0,1
360,1.0,4.0,5.0,0.36,5532,0,1,1,0,0,1
361,2.0,5.0,4.2,0.32,5307,1,0,0,1,0,1
362,1.0,3.0,4.8,0.35,5557,0,1,0,1,1,0
363,4.0,8.0,9.4,0.83,5347,0,1,1,0,0,1
364,4.0,7.0,7.9,0.73,5341,0,1,0,1,0,1
365,0.0,2.0,2.1,0.15,5561,0,1,0,1,1,0
366,2.0,5.0,4.2,0.3,5315,0,1,0,1,0,1
367,1.0,3.0,6.6,0.47,5523,1,0,0,1,0,1
368,4.0,6.0,7.1,0.68,5446,1,0,1,0,1,0
369,5.0,10.0,9.7,0.87,5392,1,0,0,1,1,0
370,1.0,2.0,5.5,0.4,5469,0,1,1,0,1,0
371,1.0,3.0,5.2,0.43,5472,1,0,1,0,0,1
372,4.0,7.0,8.4,0.64,5602,1,0,0,1,1,0
373,2.0,3.0,3.4,0.26,5396,1,0,0,1,1,0
374,2.0,4.0,7.2,0.59,5565,1,0,0,1,0,1
375,2.0,6.0,7.0,0.52,5358,1,0,0,1,0,1
376,2.0,5.0,7.3,0.56,5345,1,0,1,0,0,1
377,3.0,6.0,6.5,0.56,5457,1,0,0,1,0,1
378,0.0,1.0,5.9,0.25,5292,0,1,1,0,0,1
379,1.0,4.0,5.8,0.53,5264,1,0,0,1,0,1
380,2.0,4.0,6.2,0.4,5599,1,0,0,1,0,1
381,2.0,4.0,4.2,0.31,5513,1,0,1,0,0,1
382,3.0,4.0,8.9,0.83,5533,1,0,0,1,1,0
383,1.0,5.0,6.6,0.54,5560,1,0,0,1,0,1
384,2.0,4.0,5.5,0.36,5504,0,1,1,0,0,1
385,2.0,6.0,7.5,0.55,5582,1,0,0,1,1,0
386,1.0,2.0,3.8,0.22,5427,0,1,0,1,0,1
387,4.0,4.0,6.9,0.69,5340,0,1,0,1,0,1
388,3.0,5.0,5.0,0.4,5595,0,1,1,0,1,0
389,3.0,6.0,7.9,0.64,5369,0,1,0,1,0,1
390,3.0,5.0,6.5,0.48,5286,0,1,0,1,0,1
391,1.0,3.0,5.2,0.39,5334,0,1,1,0,0,1
392,3.0,5.0,5.6,0.4,5428,0,1,1,0,0,1
393,2.0,4.0,6.2,0.49,5520,0,1,1,0,1,0
394,2.0,4.0,5.9,0.16,5423,0,1,0,1,0,1
395,2.0,2.0,3.9,0.29,5449,1,0,1,0,0,1
396,2.0,5.0,6.1,0.41,5460,0,1,0,1,0,1
397,2.0,5.0,5.5,0.37,5298,0,1,0,1,0,1
398,3.0,6.0,8.6,0.68,5376,1,0,0,1,1,0
399,2.0,5.0,7.1,0.58,5495,0,1,1,0,0,1
400,2.0,6.0,6.9,0.55,5477,1,0,1,0,0,1
402,2.0,3.0,6.9,0.5,5396,0,1,1,0,1,0
403,2.0,4.0,6.3,0.57,5491,1,0,0,1,1,0
404,2.0,3.0,6.3,0.44,5250,0,1,0,1,1,0
405,2.0,3.0,5.7,0.37,5444,0,1,0,1,0,1
406,2.0,6.0,5.9,0.61,5553,1,0,1,0,0,1
408,3.0,7.0,6.3,0.62,5585,1,0,0,1,0,1
409,2.0,4.0,6.7,0.57,5481,1,0,0,1,1,0
410,1.0,4.0,1.9,0.03,5565,0,1,1,0,0,1
412,3.0,5.0,4.9,0.37,5337,0,1,0,1,0,1
413,1.0,4.0,5.4,0.35,5573,0,1,0,1,0,1
414,4.0,6.0,7.0,0.55,5258,1,0,0,1,0,1
415,2.0,4.0,5.9,0.18,5525,0,1,1,0,0,1
416,2.0,4.0,6.5,0.61,5447,0,1,1,0,0,1
417,2.0,3.0,4.0,0.2,5543,0,1,0,1,1,0
418,0.0,1.0,4.0,0.2,5497,0,1,1,0,1,0
419,3.0,7.0,5.9,0.64,5360,1,0,1,0,1,0
421,1.0,2.0,5.9,0.43,5541,1,0,1,0,0,1
422,1.0,3.0,3.7,0.17,5350,0,1,1,0,0,1
424,2.0,4.0,5.2,0.47,5265,1,0,0,1,0,1
425,0.0,1.0,2.8,0.12,5361,1,0,0,1,0,1
426,5.0,10.0,5.9,1.0,5365,1,0,1,0,0,1
427,3.0,6.0,8.2,0.65,5505,1,0,1,0,1,0
428,3.0,4.0,5.5,0.42,5330,0,1,1,0,0,1
429,1.0,1.0,3.6,0.28,5418,1,0,1,0,0,1
430,2.0,5.0,6.9,0.67,5425,0,1,0,1,1,0
431,5.0,9.0,9.4,0.88,5443,1,0,1,0,1,0
432,1.0,3.0,3.6,0.29,5603,0,1,0,1,0,1
433,2.0,5.0,6.8,0.6,5286,1,0,0,1,0,1
434,0.0,1.0,3.8,0.17,5472,0,1,0,1,0,1
435,1.0,2.0,1.6,0.08,5570,0,1,1,0,1,0
436,2.0,4.0,5.4,0.48,5278,1,0,0,1,0,1
437,2.0,4.0,7.3,0.51,5256,1,0,1,0,0,1
438,0.0,2.0,4.0,0.3,5545,0,1,1,0,0,1
439,2.0,4.0,7.0,0.54,5576,1,0,1,0,0,1
